Start Date,Overs,Mdns,Runs,Wkts
30-Oct-05,99.2,6,481,10
31-Oct-05,96.1,2,588,8
03-Nov-05,95.3,5,510,15
04-Nov-05,20,2,75,2
06-Nov-05,77.4,5,349,14
06-Nov-05,97.4,3,564,12
09-Nov-05,77.4,5,393,11
12-Nov-05,89.3,7,482,14
16-Nov-05,98.5,6,492,12
19-Nov-05,85.4,12,336,11
25-Nov-05,81.4,7,372,10
28-Nov-05,97.3,6,435,11
03-Dec-05,77.4,8,346,18
07-Dec-05,99.5,0,628,11
10-Dec-05,99,4,650,15
10-Dec-05,96.5,0,604,13
12-Dec-05,92.4,3,447,12
15-Dec-05,92,5,528,13
19-Dec-05,95.3,8,398,18
21-Dec-05,100,9,393,16
31-Dec-05,84.4,9,323,13
03-Jan-06,98,2,493,10
06-Jan-06,96.4,4,419,19
08-Jan-06,98.2,2,514,15
13-Jan-06,100,5,507,10
15-Jan-06,98.4,8,440,11
17-Jan-06,94.2,4,457,13
20-Jan-06,96.2,7,425,20
22-Jan-06,100,6,552,14
24-Jan-06,100,5,498,11
26-Jan-06,98.3,3,427,13
29-Jan-06,91,4,457,9
31-Jan-06,92.5,4,431,12
03-Feb-06,100,6,480,12
05-Feb-06,100,0,620,10
06-Feb-06,96.4,2,631,14
07-Feb-06,93.4,5,427,19
10-Feb-06,99.1,2,508,12
11-Feb-06,92.3,2,525,8
12-Feb-06,86,2,564,14
13-Feb-06,97.4,4,564,11
14-Feb-06,95.3,4,526,8
